,QE_I04,QE_I05,QE_I08,NT_GER,QE_I04n,QE_I05n,QE_I08n
0,B,B,A,36.4,2,2,1
1,B,B,A,66.3,2,2,1
2,D,D,A,27.3,4,4,1
3,C,B,B,54.6,3,2,2
4,C,D,A,34.8,3,4,1
5,D,B,A,44.2,4,2,1
6,A,A,A,34.1,1,1,1
7,E,C,C,38.9,5,3,3
8,D,B,C,47.6,4,2,3
9,B,B,A,41.4,2,2,1
10,E,F,C,58.3,5,6,3
11,B,B,A,41.1,2,2,1
12,A,B,A,42.5,1,2,1
13,A,B,A,61.2,1,2,1
14,A,B,A,35.0,1,2,1
15,B,C,A,52.9,2,3,1
16,C,B,A,24.2,3,2,1
17,B,D,C,40.3,2,4,3
18,B,C,A,39.8,2,3,1
19,B,B,B,47.3,2,2,2
20,A,B,B,59.9,1,2,2
21,A,B,B,41.0,1,2,2
22,B,B,B,53.2,2,2,2
23,B,B,B,65.1,2,2,2
24,A,B,A,38.7,1,2,1
25,B,B,B,30.7,2,2,2
26,B,C,A,58.0,2,3,1
27,A,B,B,54.5,1,2,2
28,A,B,A,33.8,1,2,1
29,C,D,A,62.7,3,4,1
30,D,D,A,44.6,4,4,1
31,B,B,A,42.7,2,2,1
32,B,B,B,45.6,2,2,2
33,B,B,A,37.5,2,2,1
34,C,D,A,55.7,3,4,1
35,A,A,B,48.4,1,1,2
36,D,B,A,31.5,4,2,1
37,D,C,A,31.1,4,3,1
38,A,A,B,70.7,1,1,2
39,A,B,B,32.1,1,2,2
40,B,B,B,55.9,2,2,2
41,B,D,A,41.9,2,4,1
42,A,D,A,36.1,1,4,1
43,B,B,A,40.3,2,2,1
44,A,D,A,34.9,1,4,1
45,B,A,A,31.8,2,1,1
46,A,B,D,46.3,1,2,4
47,A,B,A,27.3,1,2,1
48,B,B,A,64.1,2,2,1
49,B,E,A,54.3,2,5,1
50,A,A,B,35.2,1,1,2
51,B,B,B,48.2,2,2,2
52,B,B,A,42.5,2,2,1
53,C,B,A,38.7,3,2,1
54,B,B,A,43.8,2,2,1
55,A,A,A,38.0,1,1,1
56,B,C,B,53.6,2,3,2
57,B,A,A,61.1,2,1,1
58,B,E,B,40.0,2,5,2
59,A,E,C,52.3,1,5,3
60,E,E,C,32.2,5,5,3
61,B,B,A,38.8,2,2,1
62,D,D,F,37.9,4,4,6
63,B,C,B,53.8,2,3,2
64,E,B,B,37.4,5,2,2
65,A,A,A,36.6,1,1,1
66,B,C,C,24.9,2,3,3
67,A,B,A,50.4,1,2,1
68,A,A,B,21.9,1,1,2
69,D,B,B,37.9,4,2,2
70,B,B,A,36.2,2,2,1
71,A,B,B,42.1,1,2,2
72,A,A,A,36.2,1,1,1
73,A,B,B,54.9,1,2,2
74,A,B,A,36.6,1,2,1
75,B,C,B,46.5,2,3,2
76,B,B,C,45.7,2,2,3
77,A,A,B,27.8,1,1,2
78,C,B,B,47.1,3,2,2
79,B,E,B,51.0,2,5,2
80,A,C,A,51.2,1,3,1
81,B,B,A,26.2,2,2,1
82,C,B,C,48.3,3,2,3
83,B,B,A,61.4,2,2,1
84,B,B,A,30.9,2,2,1
85,D,E,A,27.2,4,5,1
86,B,B,A,57.9,2,2,1
87,D,B,B,37.6,4,2,2
88,C,C,A,32.4,3,3,1
89,A,A,A,44.0,1,1,1
90,E,D,B,34.1,5,4,2
91,B,B,A,38.7,2,2,1
92,B,B,A,36.8,2,2,1
93,D,F,B,47.3,4,6,2
94,B,B,A,43.4,2,2,1
95,B,B,A,36.8,2,2,1
96,A,B,A,59.7,1,2,1
97,C,B,A,71.5,3,2,1
98,A,A,B,51.7,1,1,2
99,B,D,A,50.3,2,4,1
100,B,D,B,65.1,2,4,2
101,C,A,A,58.6,3,1,1
102,A,D,A,37.8,1,4,1
103,C,C,B,39.4,3,3,2
104,B,E,D,61.1,2,5,4
105,B,D,A,66.3,2,4,1
106,C,D,B,51.4,3,4,2
107,B,B,A,66.5,2,2,1
108,B,B,B,61.5,2,2,2
109,C,C,A,48.0,3,3,1
110,B,D,A,50.7,2,4,1
111,B,B,A,35.7,2,2,1
112,B,B,A,35.3,2,2,1
113,B,B,A,26.4,2,2,1
114,A,D,A,20.8,1,4,1
115,E,B,D,52.2,5,2,4
116,A,A,B,56.0,1,1,2
117,B,A,A,52.0,2,1,1
118,B,B,C,53.0,2,2,3
119,B,B,A,53.0,2,2,1
120,D,F,B,58.7,4,6,2
121,B,D,A,65.0,2,4,1
122,A,A,A,32.5,1,1,1
123,A,B,A,49.5,1,2,1
124,A,B,B,65.8,1,2,2
125,D,B,A,38.7,4,2,1
126,B,B,B,44.8,2,2,2
127,B,C,C,67.0,2,3,3
128,D,B,A,54.9,4,2,1
129,E,E,B,65.2,5,5,2
130,D,E,D,42.6,4,5,4
131,A,B,A,56.2,1,2,1
132,D,B,A,58.5,4,2,1
133,B,B,A,46.2,2,2,1
134,D,D,A,58.5,4,4,1
135,B,B,A,36.2,2,2,1
136,B,F,B,50.2,2,6,2
137,C,B,A,74.5,3,2,1
138,D,D,D,47.0,4,4,4
139,B,B,A,48.3,2,2,1
140,D,C,C,69.6,4,3,3
141,B,B,A,59.9,2,2,1
142,A,A,A,58.4,1,1,1
143,A,A,A,46.8,1,1,1
144,A,B,A,29.3,1,2,1
145,B,B,B,46.0,2,2,2
146,B,A,A,35.6,2,1,1
147,B,C,A,66.8,2,3,1
148,B,C,A,66.0,2,3,1
149,B,B,A,51.4,2,2,1
150,B,B,A,65.0,2,2,1
151,A,A,C,65.7,1,1,3
152,D,D,C,58.5,4,4,3
153,D,B,A,48.3,4,2,1
154,B,B,B,45.0,2,2,2
155,B,D,A,44.9,2,4,1
156,B,D,A,45.3,2,4,1
157,A,B,A,43.9,1,2,1
158,B,C,B,30.6,2,3,2
159,B,B,A,62.6,2,2,1
160,A,B,A,46.3,1,2,1
161,B,C,A,52.1,2,3,1
162,D,C,B,46.5,4,3,2
163,B,C,A,59.8,2,3,1
164,B,B,A,49.5,2,2,1
165,D,D,A,23.4,4,4,1
166,A,A,A,54.0,1,1,1
167,B,D,A,29.5,2,4,1
168,A,C,A,59.7,1,3,1
169,A,B,A,48.2,1,2,1
170,A,C,A,54.8,1,3,1
171,B,B,A,29.5,2,2,1
172,D,C,C,50.2,4,3,3
173,B,B,A,57.5,2,2,1
174,B,B,B,70.0,2,2,2
175,D,B,A,48.9,4,2,1
176,C,C,F,65.7,3,3,6
177,B,B,A,35.2,2,2,1
178,B,C,B,44.3,2,3,2
179,B,D,B,69.6,2,4,2
180,A,A,B,39.9,1,1,2
181,B,B,A,33.4,2,2,1
182,A,B,B,40.0,1,2,2
183,B,B,A,45.6,2,2,1
184,B,B,B,30.4,2,2,2
185,B,E,B,40.9,2,5,2
186,A,B,B,49.6,1,2,2
187,D,C,A,46.7,4,3,1
188,A,B,C,32.6,1,2,3
189,D,D,A,22.6,4,4,1
190,B,A,A,48.9,2,1,1
191,C,C,A,62.6,3,3,1
192,D,D,A,53.3,4,4,1
193,C,B,A,39.8,3,2,1
194,B,C,B,34.0,2,3,2
195,B,B,A,53.0,2,2,1
196,B,B,B,47.3,2,2,2
197,B,B,B,58.4,2,2,2
198,B,B,A,59.2,2,2,1
199,A,B,A,37.0,1,2,1
200,F,B,C,61.0,6,2,3
201,B,D,A,41.9,2,4,1
202,C,B,A,58.6,3,2,1
203,A,B,B,40.3,1,2,2
204,B,D,B,39.6,2,4,2
205,B,B,A,58.9,2,2,1
207,D,E,B,55.2,4,5,2
208,C,C,A,55.0,3,3,1
209,B,C,C,71.3,2,3,3
210,E,E,A,57.7,5,5,1
211,C,D,B,73.4,3,4,2
212,A,D,A,59.6,1,4,1
213,B,B,A,52.4,2,2,1
214,D,D,C,70.0,4,4,3
215,D,E,B,57.5,4,5,2
216,D,B,A,46.8,4,2,1
217,D,E,A,44.5,4,5,1
218,A,B,C,65.7,1,2,3
219,A,F,A,65.0,1,6,1
220,B,C,A,57.8,2,3,1
221,C,B,A,52.4,3,2,1
222,B,D,A,51.6,2,4,1
223,D,E,A,60.7,4,5,1
224,F,F,F,63.5,6,6,6
225,A,A,A,45.5,1,1,1
226,D,D,B,46.0,4,4,2
227,E,E,F,44.3,5,5,6
228,C,D,B,21.4,3,4,2
229,E,E,F,59.2,5,5,6
230,D,E,F,38.0,4,5,6
231,D,E,C,39.4,4,5,3
232,B,E,C,37.4,2,5,3
233,D,D,D,67.0,4,4,4
234,E,E,E,49.3,5,5,5
235,B,B,A,36.8,2,2,1
236,C,C,A,49.5,3,3,1
237,E,E,B,46.1,5,5,2
238,D,E,B,40.8,4,5,2
239,A,B,B,59.6,1,2,2
240,D,E,C,42.9,4,5,3
241,C,D,C,40.0,3,4,3
242,B,E,B,57.2,2,5,2
243,B,D,E,40.2,2,4,5
244,D,D,F,43.6,4,4,6
245,E,D,D,46.3,5,4,4
246,D,E,E,57.2,4,5,5
247,E,E,F,55.2,5,5,6
248,D,D,E,61.8,4,4,5
249,D,F,C,59.5,4,6,3
250,D,E,A,41.9,4,5,1
251,D,F,D,33.1,4,6,4
252,E,F,E,37.3,5,6,5
253,D,E,E,47.3,4,5,5
254,D,D,B,34.3,4,4,2
255,D,D,B,42.9,4,4,2
256,E,D,F,28.8,5,4,6
257,D,F,C,53.4,4,6,3
258,A,B,A,41.8,1,2,1
259,F,D,D,58.4,6,4,4
260,D,F,F,38.6,4,6,6
261,D,E,D,37.8,4,5,4
262,A,B,E,71.4,1,2,5
263,D,F,A,26.9,4,6,1
264,D,D,B,68.8,4,4,2
265,D,E,E,48.3,4,5,5
266,D,E,C,56.6,4,5,3
267,D,E,F,25.3,4,5,6
268,F,F,F,53.2,6,6,6
269,D,D,C,56.1,4,4,3
270,E,E,F,42.0,5,5,6
271,E,D,C,52.4,5,4,3
272,C,B,B,68.1,3,2,2
273,E,D,E,44.3,5,4,5
274,C,D,C,69.9,3,4,3
275,E,E,C,34.1,5,5,3
276,E,D,C,36.5,5,4,3
277,D,D,B,38.5,4,4,2
278,D,E,C,44.9,4,5,3
279,E,E,C,42.9,5,5,3
280,E,E,E,42.0,5,5,5
281,B,E,E,44.1,2,5,5
282,E,D,B,30.6,5,4,2
283,C,D,B,65.7,3,4,2
284,D,D,C,59.7,4,4,3
285,D,D,C,52.5,4,4,3
286,E,E,D,39.8,5,5,4
287,E,D,C,34.3,5,4,3
288,E,E,B,41.9,5,5,2
289,D,E,B,51.1,4,5,2
290,B,B,C,53.1,2,2,3
291,B,B,B,24.9,2,2,2
292,F,D,F,47.7,6,4,6
293,D,D,A,43.9,4,4,1
294,B,D,B,43.9,2,4,2
295,E,E,F,45.8,5,5,6
296,B,D,C,23.3,2,4,3
297,D,E,E,26.9,4,5,5
298,C,B,B,42.7,3,2,2
299,E,E,E,57.7,5,5,5
300,C,D,A,30.4,3,4,1
301,F,E,E,51.0,6,5,5
302,E,E,D,53.5,5,5,4
303,D,D,C,44.2,4,4,3
304,D,D,B,24.6,4,4,2
305,D,E,B,42.1,4,5,2
306,D,D,F,27.6,4,4,6
307,D,E,C,70.0,4,5,3
308,D,D,B,40.8,4,4,2
309,D,D,C,53.3,4,4,3
310,F,F,E,30.4,6,6,5
311,D,D,A,25.2,4,4,1
312,F,C,E,63.6,6,3,5
313,C,E,B,50.8,3,5,2
314,F,D,B,28.0,6,4,2
315,F,E,C,61.3,6,5,3
316,D,D,C,48.2,4,4,3
317,D,F,E,69.4,4,6,5
318,E,E,C,57.1,5,5,3
319,E,F,D,42.5,5,6,4
321,D,F,D,64.2,4,6,4
322,D,F,B,38.8,4,6,2
323,E,E,C,63.9,5,5,3
324,F,E,F,50.0,6,5,6
325,D,D,D,25.1,4,4,4
326,D,F,E,57.3,4,6,5
327,D,D,B,37.5,4,4,2
328,F,D,E,61.5,6,4,5
329,C,C,A,42.2,3,3,1
330,E,F,F,57.4,5,6,6
331,E,E,D,45.9,5,5,4
332,D,E,C,60.9,4,5,3
333,D,C,C,49.1,4,3,3
334,D,E,C,49.9,4,5,3
335,D,D,B,28.4,4,4,2
336,E,C,C,17.6,5,3,3
337,E,D,C,39.2,5,4,3
338,D,D,A,55.6,4,4,1
339,A,B,A,33.3,1,2,1
340,E,E,C,48.8,5,5,3
341,D,E,F,38.8,4,5,6
342,D,F,E,27.7,4,6,5
343,D,F,E,48.4,4,6,5
344,E,F,E,61.5,5,6,5
345,F,F,F,36.5,6,6,6
346,D,D,G,21.9,4,4,7
347,E,E,C,33.4,5,5,3
348,D,B,A,37.5,4,2,1
349,E,E,D,50.3,5,5,4
350,E,E,E,32.8,5,5,5
351,D,D,E,39.0,4,4,5
352,E,D,B,47.9,5,4,2
353,D,E,B,30.3,4,5,2
354,B,D,C,57.2,2,4,3
355,F,E,D,54.9,6,5,4
356,C,F,B,69.0,3,6,2
357,D,D,D,36.6,4,4,4
358,E,F,C,30.0,5,6,3
359,C,C,B,56.5,3,3,2
361,D,E,E,48.0,4,5,5
362,E,F,G,44.2,5,6,7
363,D,E,F,58.2,4,5,6
364,E,E,E,26.2,5,5,5
365,E,E,E,56.4,5,5,5
366,E,E,E,39.9,5,5,5
367,E,F,F,45.6,5,6,6
368,E,F,D,51.2,5,6,4
369,B,D,B,46.0,2,4,2
370,F,F,E,57.2,6,6,5
371,C,F,D,47.4,3,6,4
372,E,E,E,37.4,5,5,5
373,E,E,D,52.4,5,5,4
374,F,F,C,52.6,6,6,3
375,D,D,B,60.7,4,4,2
376,D,D,A,41.6,4,4,1
377,B,B,A,35.9,2,2,1
378,D,E,A,54.1,4,5,1
379,D,D,B,61.4,4,4,2
380,E,E,E,48.0,5,5,5
381,D,D,C,53.3,4,4,3
382,B,F,A,58.5,2,6,1
383,E,E,A,71.4,5,5,1
384,F,F,E,48.9,6,6,5
385,E,E,D,41.8,5,5,4
386,F,D,F,39.8,6,4,6
387,F,F,C,45.9,6,6,3
388,E,D,A,66.1,5,4,1
389,D,F,E,65.9,4,6,5
390,D,D,A,59.3,4,4,1
391,F,F,E,77.5,6,6,5
392,E,E,F,40.2,5,5,6
393,B,B,E,67.9,2,2,5
394,D,D,D,74.9,4,4,4
395,D,E,B,58.1,4,5,2
396,D,F,C,45.0,4,6,3
397,E,F,E,58.9,5,6,5
398,B,C,B,65.5,2,3,2
399,D,E,C,24.2,4,5,3
400,B,D,D,52.3,2,4,4
401,B,B,A,54.4,2,2,1
402,D,D,B,58.9,4,4,2
403,D,D,B,77.2,4,4,2
404,D,E,E,41.8,4,5,5
405,D,E,B,40.7,4,5,2
406,D,E,C,75.7,4,5,3
407,F,E,E,52.3,6,5,5
408,D,D,C,74.7,4,4,3
409,D,E,C,49.2,4,5,3
410,E,E,F,52.9,5,5,6
411,D,D,F,48.7,4,4,6
412,A,B,C,55.1,1,2,3
413,F,D,F,51.4,6,4,6
414,D,E,E,70.5,4,5,5
415,E,D,E,66.2,5,4,5
416,E,D,C,62.2,5,4,3
417,D,D,E,54.6,4,4,5
418,D,D,F,41.4,4,4,6
419,D,E,D,69.6,4,5,4
420,E,E,B,56.7,5,5,2
421,F,E,G,50.0,6,5,7
422,E,E,B,70.1,5,5,2
423,B,F,B,39.1,2,6,2
424,D,E,E,60.8,4,5,5
425,E,D,E,67.8,5,4,5
426,E,E,E,54.3,5,5,5
427,E,E,E,65.0,5,5,5
428,E,F,E,66.8,5,6,5
429,E,D,C,46.3,5,4,3
430,E,E,B,45.1,5,5,2
431,F,D,F,73.6,6,4,6
432,D,D,D,73.4,4,4,4
433,B,D,B,26.9,2,4,2
434,D,E,C,69.9,4,5,3
435,D,D,C,55.9,4,4,3
436,C,F,C,42.1,3,6,3
437,B,E,B,46.1,2,5,2
438,D,D,B,48.7,4,4,2
439,D,E,B,69.8,4,5,2
440,B,D,E,54.2,2,4,5
441,F,F,E,65.1,6,6,5
442,D,E,A,51.5,4,5,1
443,D,F,D,49.2,4,6,4
444,D,D,C,45.5,4,4,3
445,E,E,D,53.9,5,5,4
446,D,D,C,70.3,4,4,3
447,E,E,E,53.5,5,5,5
448,F,E,F,59.7,6,5,6
449,A,B,A,44.9,1,2,1
450,D,F,B,56.4,4,6,2
451,D,D,C,71.1,4,4,3
452,C,E,B,50.9,3,5,2
453,B,E,C,58.1,2,5,3
454,E,E,E,59.5,5,5,5
455,D,F,D,62.1,4,6,4
456,B,E,B,70.8,2,5,2
457,E,E,C,70.8,5,5,3
458,E,E,B,72.4,5,5,2
459,F,D,E,66.3,6,4,5
460,C,F,B,77.4,3,6,2
461,E,D,C,56.7,5,4,3
462,E,F,F,61.3,5,6,6
463,D,D,B,69.0,4,4,2
464,F,F,E,73.6,6,6,5
465,E,E,D,58.9,5,5,4
466,D,E,A,45.7,4,5,1
467,D,D,B,52.4,4,4,2
468,C,D,D,50.6,3,4,4
469,E,E,F,51.6,5,5,6
470,D,E,E,57.7,4,5,5
471,F,F,F,60.5,6,6,6
472,E,F,B,45.4,5,6,2
473,D,E,E,63.7,4,5,5
474,F,D,B,52.1,6,4,2
475,D,D,A,49.7,4,4,1
476,C,E,B,28.9,3,5,2
477,D,D,A,51.6,4,4,1
478,E,E,F,41.3,5,5,6
479,E,C,E,45.2,5,3,5
480,D,E,C,59.9,4,5,3
481,D,D,D,55.4,4,4,4
482,F,E,E,34.8,6,5,5
483,A,A,A,46.8,1,1,1
484,D,F,B,33.8,4,6,2
485,B,D,A,42.0,2,4,1
486,E,E,G,47.9,5,5,7
487,D,D,E,47.2,4,4,5
488,D,D,B,56.6,4,4,2
489,D,D,B,32.0,4,4,2
490,D,C,C,55.2,4,3,3
491,D,D,B,45.8,4,4,2
492,D,E,D,31.1,4,5,4
493,C,D,B,44.3,3,4,2
494,D,F,C,57.6,4,6,3
495,D,E,B,55.0,4,5,2
496,E,F,E,52.1,5,6,5
497,E,F,C,40.2,5,6,3
498,C,F,D,58.5,3,6,4
499,D,D,A,54.2,4,4,1
500,E,D,D,31.4,5,4,4
501,E,D,B,36.9,5,4,2
502,D,C,B,64.6,4,3,2
503,D,E,A,30.7,4,5,1
504,D,E,D,39.0,4,5,4
505,C,E,B,31.9,3,5,2
506,C,D,D,49.4,3,4,4
507,D,C,C,43.9,4,3,3
508,B,C,B,38.9,2,3,2
509,D,E,B,35.0,4,5,2
510,F,D,E,43.2,6,4,5
511,B,B,A,30.6,2,2,1
512,E,D,B,51.3,5,4,2
513,F,E,F,49.0,6,5,6
514,D,D,B,32.8,4,4,2
515,D,D,B,44.6,4,4,2
516,D,F,C,39.4,4,6,3
517,D,D,A,31.8,4,4,1
518,F,E,E,43.8,6,5,5
519,E,F,C,46.9,5,6,3
520,D,E,B,48.7,4,5,2
521,B,E,B,54.8,2,5,2
522,E,E,E,53.1,5,5,5
523,D,D,C,56.0,4,4,3
524,F,E,F,35.5,6,5,6
525,E,E,E,46.0,5,5,5
526,E,D,E,27.9,5,4,5
527,F,F,E,34.8,6,6,5
528,E,E,C,49.0,5,5,3
529,F,F,C,49.1,6,6,3
530,D,E,D,59.0,4,5,4
531,D,D,D,38.9,4,4,4
532,C,D,B,29.0,3,4,2
533,C,D,C,47.4,3,4,3
534,E,E,C,31.7,5,5,3
535,C,C,A,37.1,3,3,1
536,C,D,C,33.5,3,4,3
537,D,E,D,43.9,4,5,4
538,D,D,C,60.6,4,4,3
539,E,D,E,36.0,5,4,5
540,E,E,C,49.0,5,5,3
541,B,F,B,38.1,2,6,2
542,D,D,C,59.1,4,4,3
543,C,D,B,44.0,3,4,2
544,D,E,B,44.5,4,5,2
545,D,E,C,46.9,4,5,3
546,D,D,D,48.8,4,4,4
547,D,D,C,40.1,4,4,3
548,E,E,D,42.1,5,5,4
549,E,E,F,50.4,5,5,6
550,F,F,E,64.5,6,6,5
551,D,B,B,57.3,4,2,2
552,D,F,A,32.6,4,6,1
553,D,F,D,56.6,4,6,4
554,E,F,F,60.6,5,6,6
555,D,E,C,64.2,4,5,3
556,B,B,B,59.2,2,2,2
557,E,D,B,34.9,5,4,2
558,A,B,A,43.8,1,2,1
559,E,D,B,39.0,5,4,2
560,F,F,G,74.7,6,6,7
561,D,D,E,41.4,4,4,5
562,E,E,D,46.9,5,5,4
563,B,F,A,56.4,2,6,1
564,A,D,C,37.8,1,4,3
565,D,F,B,50.5,4,6,2
566,C,C,B,67.6,3,3,2
567,E,F,E,59.1,5,6,5
568,E,E,C,36.3,5,5,3
569,E,E,E,53.9,5,5,5
570,E,E,D,45.9,5,5,4
571,D,B,C,69.1,4,2,3
572,E,D,F,62.8,5,4,6
573,B,D,A,36.5,2,4,1
574,D,E,B,59.9,4,5,2
575,E,E,C,41.9,5,5,3
576,D,F,B,41.4,4,6,2
577,D,F,C,61.7,4,6,3
578,B,C,B,34.9,2,3,2
579,D,F,D,62.3,4,6,4
580,D,E,D,45.9,4,5,4
581,C,F,F,43.8,3,6,6
582,C,E,B,67.7,3,5,2
583,E,D,B,68.1,5,4,2
584,E,E,E,53.6,5,5,5
585,D,F,E,51.1,4,6,5
586,D,D,D,78.1,4,4,4
587,D,E,D,34.7,4,5,4
588,E,F,D,67.0,5,6,4
589,D,E,C,43.9,4,5,3
590,D,E,B,49.1,4,5,2
591,F,C,B,42.8,6,3,2
592,E,E,B,71.2,5,5,2
593,C,D,B,18.8,3,4,2
594,E,D,C,48.5,5,4,3
595,D,E,C,31.7,4,5,3
596,B,D,B,48.7,2,4,2
597,D,C,B,60.1,4,3,2
598,E,E,B,49.5,5,5,2
599,C,C,B,23.1,3,3,2
600,D,F,E,63.7,4,6,5
601,F,E,E,44.4,6,5,5
602,D,D,A,63.2,4,4,1
603,D,D,A,58.7,4,4,1
604,D,D,B,48.9,4,4,2
605,B,B,A,36.9,2,2,1
606,C,D,C,60.2,3,4,3
607,E,D,A,49.4,5,4,1
608,D,F,A,69.1,4,6,1
609,D,C,A,62.2,4,3,1
610,B,C,C,41.5,2,3,3
611,B,E,B,36.4,2,5,2
612,E,E,F,40.7,5,5,6
613,D,E,B,43.2,4,5,2
614,E,E,D,41.3,5,5,4
615,D,D,B,57.3,4,4,2
616,D,D,D,46.0,4,4,4
617,B,D,B,41.6,2,4,2
618,B,D,B,42.1,2,4,2
619,D,D,B,38.8,4,4,2
620,F,E,E,43.9,6,5,5
621,F,F,E,30.7,6,6,5
622,C,C,B,38.3,3,3,2
623,D,C,B,52.0,4,3,2
624,B,A,B,39.8,2,1,2
625,F,F,G,56.9,6,6,7
626,C,E,B,52.0,3,5,2
627,D,C,A,30.4,4,3,1
628,D,D,B,51.8,4,4,2
629,D,F,C,36.8,4,6,3
630,C,D,C,36.5,3,4,3
631,C,B,B,45.9,3,2,2
632,D,E,B,46.8,4,5,2
633,E,E,D,34.1,5,5,4
634,B,E,C,40.7,2,5,3
635,B,C,A,45.2,2,3,1
636,E,E,A,49.2,5,5,1
637,D,C,C,43.8,4,3,3
638,D,E,B,42.0,4,5,2
639,E,E,F,36.4,5,5,6
640,E,E,A,31.1,5,5,1
641,D,D,A,45.5,4,4,1
642,D,D,B,35.2,4,4,2
643,B,E,A,46.6,2,5,1
644,C,D,A,46.9,3,4,1
645,A,D,A,44.1,1,4,1
646,B,D,A,41.4,2,4,1
647,D,C,C,32.7,4,3,3
648,D,E,F,34.8,4,5,6
649,D,D,B,48.4,4,4,2
650,E,D,C,54.4,5,4,3
651,E,E,C,36.5,5,5,3
652,B,C,A,38.3,2,3,1
653,B,D,B,44.7,2,4,2
654,B,F,D,47.5,2,6,4
655,D,C,C,57.4,4,3,3
656,E,D,B,35.7,5,4,2
657,B,B,B,29.5,2,2,2
658,E,D,B,44.0,5,4,2
659,E,E,D,61.4,5,5,4
660,E,D,E,59.9,5,4,5
661,C,D,B,55.0,3,4,2
662,B,B,B,47.9,2,2,2
663,C,E,C,36.3,3,5,3
664,F,E,F,62.5,6,5,6
665,D,D,C,52.4,4,4,3
666,D,D,C,37.5,4,4,3
667,E,E,E,61.3,5,5,5
668,E,E,F,71.0,5,5,6
669,B,D,B,49.6,2,4,2
670,D,D,B,39.2,4,4,2
671,F,F,F,68.4,6,6,6
672,D,E,F,43.0,4,5,6
673,E,F,E,77.0,5,6,5
674,E,F,F,69.0,5,6,6
675,E,E,A,80.8,5,5,1
676,C,D,B,37.2,3,4,2
677,B,D,C,60.6,2,4,3
678,B,B,B,49.0,2,2,2
679,B,E,E,46.3,2,5,5
680,F,F,F,55.0,6,6,6
681,D,D,B,43.1,4,4,2
682,D,D,B,59.3,4,4,2
683,E,E,F,70.7,5,5,6
684,D,E,E,42.3,4,5,5
685,E,D,E,48.6,5,4,5
686,E,D,E,57.8,5,4,5
687,D,D,A,46.1,4,4,1
688,C,C,C,43.8,3,3,3
689,D,B,C,59.3,4,2,3
690,B,C,B,54.3,2,3,2
691,B,C,B,51.1,2,3,2
692,D,D,C,50.7,4,4,3
693,E,D,C,55.9,5,4,3
694,E,C,A,45.1,5,3,1
695,E,E,F,50.3,5,5,6
696,F,E,F,49.6,6,5,6
697,E,D,B,41.7,5,4,2
698,E,E,C,37.4,5,5,3
699,D,D,C,41.8,4,4,3
700,E,D,A,74.6,5,4,1
701,D,E,D,56.3,4,5,4
702,B,B,C,42.3,2,2,3
703,D,D,D,52.1,4,4,4
704,E,D,A,37.5,5,4,1
705,E,E,E,73.3,5,5,5
706,D,E,C,51.7,4,5,3
707,D,D,C,73.5,4,4,3
708,D,E,C,53.1,4,5,3
709,D,D,C,50.4,4,4,3
710,E,E,D,42.4,5,5,4
711,D,E,B,66.8,4,5,2
712,C,E,C,49.9,3,5,3
713,D,E,E,58.0,4,5,5
714,D,F,D,58.8,4,6,4
715,D,E,B,79.0,4,5,2
716,F,D,F,43.8,6,4,6
717,E,E,F,88.6,5,5,6
718,D,F,D,59.1,4,6,4
719,C,E,E,47.4,3,5,5
720,B,D,C,63.1,2,4,3
721,D,E,F,76.8,4,5,6
722,A,A,A,51.0,1,1,1
723,B,D,C,39.8,2,4,3
724,D,D,C,30.5,4,4,3
725,B,E,B,45.5,2,5,2
726,D,C,B,33.8,4,3,2
727,B,C,A,16.6,2,3,1
728,B,D,A,42.1,2,4,1
729,D,E,A,69.1,4,5,1
730,C,B,A,54.6,3,2,1
731,C,B,A,59.3,3,2,1
732,D,C,B,58.5,4,3,2
733,B,C,A,66.8,2,3,1
734,B,C,A,46.7,2,3,1
735,D,C,A,47.1,4,3,1
736,D,D,C,54.8,4,4,3
737,B,D,A,30.4,2,4,1
738,A,B,A,50.1,1,2,1
739,B,B,A,44.3,2,2,1
740,B,D,A,64.7,2,4,1
741,B,B,C,41.3,2,2,3
742,B,C,B,21.4,2,3,2
743,C,B,A,47.8,3,2,1
744,D,D,A,62.9,4,4,1
745,C,C,B,39.1,3,3,2
746,D,C,A,48.1,4,3,1
747,B,B,A,73.4,2,2,1
748,D,E,B,59.2,4,5,2
749,B,C,A,30.0,2,3,1
750,D,E,E,53.0,4,5,5
751,D,E,A,46.9,4,5,1
752,C,C,A,35.3,3,3,1
753,B,B,A,48.9,2,2,1
754,A,B,A,69.3,1,2,1
755,D,E,E,49.3,4,5,5
756,D,B,A,44.2,4,2,1
757,C,D,A,37.9,3,4,1
758,A,B,B,65.3,1,2,2
759,D,D,B,75.0,4,4,2
760,A,A,C,23.6,1,1,3
761,B,B,A,52.6,2,2,1
762,B,E,C,57.2,2,5,3
763,C,D,B,64.0,3,4,2
764,D,D,A,51.6,4,4,1
765,D,D,B,37.3,4,4,2
766,C,D,A,65.5,3,4,1
767,C,C,B,29.9,3,3,2
768,D,D,C,67.6,4,4,3
769,D,D,A,47.1,4,4,1
770,D,F,B,54.2,4,6,2
771,B,B,D,33.0,2,2,4
772,E,E,D,65.2,5,5,4
773,E,C,B,27.7,5,3,2
774,B,A,C,15.3,2,1,3
775,B,B,B,41.4,2,2,2
776,D,D,A,31.6,4,4,1
777,B,D,C,55.4,2,4,3
