,country,perc_a,IDV,EPI,GNI,PDI,MAS,UAI,Internet,proficiency,site
39,Poland,0.26,60,64.26,12660.0,68,64,93,64.9,Muito Alta,superuser
40,Portugal,0.25,27,56.83,20580.0,63,31,104,57.8,Moderada,superuser
41,Romania,0.23,30,58.63,8150.0,90,42,90,44.0,Alta,superuser
42,Russia,0.21,39,50.44,12700.0,93,36,95,49.0,Baixa,superuser
43,Saudi Arabia,0.27,25,39.48,21210.0,95,60,80,47.5,Muito Baixa,superuser
44,Singapore,0.26,20,59.58,47210.0,74,48,8,71.0,Alta,superuser
45,Slovakia,0.29,52,55.96,17180.0,104,110,51,74.4,Moderada,superuser
46,Slovenia,0.26,27,60.6,22810.0,71,19,88,69.0,Alta,superuser
47,South Africa,0.31,65,,7610.0,49,63,49,34.0,Muito Alta,superuser
48,South Korea,0.14,18,53.62,22670.0,60,39,85,83.8,Moderada,superuser
49,Spain,0.25,51,57.18,30110.0,57,42,86,67.6,Moderada,superuser
50,Sweden,0.27,71,67.8,56210.0,31,5,29,94.0,Muito Alta,superuser
51,Switzerland,0.33,68,58.29,82730.0,34,70,58,85.2,Alta,superuser
52,Taiwan,0.15,17,52.56,,58,45,69,,Moderada,superuser
53,Thailand,0.26,20,47.79,5210.0,64,34,64,23.7,Muito Baixa,superuser
54,Turkey,0.19,37,47.8,10830.0,66,45,85,43.1,Muito Baixa,superuser
55,United Kingdom,0.32,89,,38250.0,35,66,35,86.8,Muito Alta,superuser
56,United States,0.3,91,,50120.0,40,62,46,77.9,Muito Alta,superuser
57,Uruguay,0.27,36,49.61,13510.0,61,38,100,51.4,Baixa,superuser
58,Venezuela,0.27,12,46.12,12500.0,81,73,76,,Muito Baixa,superuser
59,Vietnam,0.17,20,51.57,1400.0,70,40,30,35.1,Baixa,superuser
